Image,Left Edge,Right Edge,Height,Confidence,Area,CenterX,CenterY,Radius
main_testing.fts,57.26691419361358,60.72285010075188,10,0.3816336393356323,778,1039,1035,945
main_testing.fts,138.82536963071684,144.2214800822135,26,0.6290543079376221,1873,1039,1035,945
main_testing.fts,160.99189534474928,165.35728806955555,23,0.4453411400318146,1300,1039,1035,945
main_testing.fts,17.45239414398996,22.8485045954866,23,0.39078426361083984,1336,1039,1035,945
main_testing.fts,-5.86149751880426,-1.2535829759531945,16,0.45725131034851074,590,1039,1035,945
main_testing.fts,-0.9181789742222124,3.083431023516871,21,0.3889462351799011,794,1039,1035,945
main_testing.fts,165.06467961138725,170.33952915386152,40,0.6046757102012634,2488,1039,1035,945
main_testing.fts,-11.840407201382668,-8.990775839356353,10,0.5412365794181824,288,1039,1035,945
main_testing.fts,-27.163900494265544,-15.037809592025898,22,0.3434571921825409,2420,1039,1035,945
main_testing.fts,-9.403724263985122,-6.796614720003599,7,0.27084624767303467,222,1039,1035,945
main_testing.fts,-162.0323841965579,-158.8796005619756,16,0.4180598258972168,575,1039,1035,945
main_testing.fts,-169.1067841347874,-165.9540005002051,11,0.2810741364955902,319,1039,1035,945
main_testing.fts,-37.806015456256844,-35.077645003252925,7,0.35500144958496094,419,1039,1035,945
main_testing.fts,-55.451570286106076,-51.99563437896778,8,0.2595917880535126,560,1039,1035,945
main_testing.fts,-68.39092283080605,-65.11687828720135,17,0.46303731203079224,828,1039,1035,945
main_testing.fts,-72.24798840980638,-67.82196523048891,19,0.2733093798160553,1210,1039,1035,945
main_testing.fts,-149.77462030852067,-145.1667057656696,18,0.4100662171840668,960,1039,1035,945
main_testing.fts,-146.31543596947296,-142.19256506271148,15,0.38340505957603455,738,1039,1035,945
